Location,Value,Technical Description,X-Column,Y-Column,Rotation
C99,,"Ceramic, NP0/C0G, 150 pF, 5 %, 50 V, 0603/1608M, SMD",,,
CA1,,"Ceramic, X7R, 0.00068 uF, 10 %, 16 V, 0612, SMD",,,
D1,,"Signal, BAV70, 70 V, 0.1 A, SOT-23, SMD",,,
D10,,"Signal, BAV70, 70 V, 0.1 A, SOT-23, SMD",,,
D11,,"Signal, BAV70, 70 V, 0.1 A, SOT-23, SMD",,,
D12,,"Schottky, BAT54S, 30 V, 0.2 A, 0.31 W, SOT23, SMD",,,
D13,,"Rectifier, S1M, 1000 V, 1 A, 1.8 W, SMA (DO-214AC), SMD",,,
D14,,"Rectifier, S1M, 1000 V, 1 A, 1.8 W, SMA (DO-214AC), SMD",,,
D15,,"Schottky, MBRA340T3, 40 V, 3 A, SMA, SMD",,,
D16,,"Schottky, MBRA340T3, 40 V, 3 A, SMA, SMD",,,
D17,,"Signal, LL4148, 75 V, 0.3 A, 0.5 W, MiniMELF SOD-80, SMD",,,
D18,,"Schottky, Schottky Barrier Rectifier, 30 V, 2 A, SOD123FL, SMD",,,
D19,,"Schottky, Schottky Barrier Rectifier, 30 V, 2 A, SOD123FL, SMD",,,
D2,,"Schottky, BAT54C, 30 V, 0.2 A, 0.23 W, SOT23, SMD",,,
D3,,"Schottky, BAT54S, 30 V, 0.2 A, 0.31 W, SOT23, SMD",,,
D4,,"Schottky, Schottky Barrier Rectifier, 30 V, 2 A, SOD123FL, SMD",,,
D5,,"Schottky, Schottky Barrier Rectifier, 30 V, 2 A, SOD123FL, SMD",,,
D6,,"Schottky, BAT54S, 30 V, 0.2 A, 0.31 W, SOT23, SMD",,,
D7,,"Rectifier, US1M, 1000 V, 1 A, DO-214AC, SMD",,,
D8,,"Schottky, BAT54S, 30 V, 0.2 A, 0.31 W, SOT23, SMD",,,
D9,,"Schottky, BAT54C, 30 V, 0.2 A, 0.23 W, SOT23, SMD",,,
DZ1,,"SMD Zener Diode, 13 V, -2..2 %, 20 mA, SOD-123, SMD",,,
