PartType	RefDes	PartDecal	Pins	Layer	Orient.	X	Y	SMD	Glued
	TP30	TEST-POINT-ICT-TH	1	Top	0	2794,427	2353,767	No	No
	TP31	TEST-POINT-ICT-TH	1	Top	0	3502,312	1278,9	No	No
	TP32	TEST-POINT-ICT-TH	1	Top	0	3249,902	2545,51	No	No
	TP33	TEST-POINT-ICT-TH	1	Top	0	3625,37	2605,082	No	No
	TP34	TEST-POINT-ICT-TH	1	Top	0	2271,654	2175,197	No	No
	TP35	TEST-POINT-ICT-TH	1	Top	0	3035,328	604,077	No	No
	TP36	TEST-POINT-ICT-TH	1	Top	0	3436	1400	No	No
	TP37	TEST-POINT-ICT-TH	1	Top	0	2939,161	758,347	No	No
	TP38	TP_16DRL_60_31	1	Top	0	3818,898	358,661	No	No
	TP39	TEST-POINT-ICT-TH	1	Top	0	3557,87	2385,83	No	No
	TP40	TEST-POINT-ICT-TH	1	Top	0	277,17	2580,693	No	No
	TP61	TEST-POINT-ICT-TH	1	Top	0	3522	1370	No	No
	TP65	TEST-POINT-ICT-TH	1	Top	0	2534	961	No	No
	TP74	TEST-POINT-ICT-TH	1	Top	0	1938,16	1885,533	No	No
	TRST	TEST-POINT-ICT-TH	1	Top	180	4140,945	1063,583	No	No
	TZ2	TZ-SMC	2	Bottom	180	889,764	2903,543	Yes	No
	U2	DGQ_G10	11	Bottom	180	1766,798	1560,853	Yes	No
	U3	SOT23	3	Bottom	270	2992	1430	Yes	No
	U4	QFP100-4	100	Bottom	0	3425	1168	Yes	No
	U6	SOT223-UPAK	4	Bottom	180	705	1376,77	Yes	No
	U7	SOT23-5	5	Bottom	0	2251,181	1847,638	Yes	No
	U10	QFN-20L-4X4	21	Bottom	0	3123,74	2346,575	Yes	No
	U13	QFN48(7X7)	49	Bottom	180	3826,693	1937,756	Yes	No
	UB	TEST-POINT-ICT-TH	1	Top	180	4140,945	1240,748	No	No
	W3	CON-WIRE-B	1	Bottom	180	1312,992	354,331	No	Yes
	W4	CON-WIRE-B	1	Bottom	180	812,992	354,331	No	No
	X2	XTAL-SMD-3.2X2.5-4P	4	Bottom	270	4000	1182	Yes	No
	X4	XTAL-SMD-3.2X2.5-4P	4	Bottom	270	3721	2227,861	Yes	No
